Title	Year Released	Runtime	Genre
Pretty Sweet	1998	2.3	Documentary
Where the Heart Is	2010	1.9	Comedy|Drama
Something Is Happening (Kuch Kuch Hota Hai)	1988	1.5	Comedy|Musical|Romance
Choke	2008	1.3	Documentary
I, Madman	2013	1.4	Horror
Winter Solstice	2000	1.4	Drama
This Woman Is Dangerous	2002	1.9	Crime|Drama
Murder on a Sunday Morning (Un coupable idéal)	2012	1.0	Documentary
Starstruck	2000	1.8	Comedy|Musical
Mouth to Mouth	2002	1.7	Drama
Synth Britannia	2008	1.0	Documentary
Legion of the Dead	2012	1.5	Comedy|Horror
Caught Up	1998	2.4	Crime
Grass: A Nation's Battle for Life	2012	1.5	Documentary
Through and Through (Na wylot)	2011	1.2	Crime
Godfather: Part III, The	2006	1.0	Crime|Drama|Mystery|Thriller
Blackball	1997	2.0	Comedy|Drama
Fly, The	1999	1.6	Horror|Mystery|Sci-Fi
Get Bruce	1986	1.7	Documentary
Shaun of the Dead	2011	1.5	Comedy|Horror
Church, The (Chiesa, La)	2010	2.1	Drama|Fantasy|Horror
Without a Clue	2004	1.1	Comedy|Mystery
Paddington	1986	1.5	Children|Comedy
Bulworth	2009	1.6	Comedy|Drama|Romance
Hen, his wife	2010	1.2	(no genres listed)
Blood of Heroes, The (Salute of the Jugger, The)	2008	1.8	Action|Sci-Fi
Tremors 3: Back to Perfection	1992	1.8	Comedy|Horror|Sci-Fi
Taxidermia	1997	1.4	Comedy|Drama|Horror
Ladrones	2010	2.0	Drama
Libeled Lady	2002	1.8	Comedy|Romance
Shadow of the Vampire	2011	2.4	Drama|Horror
Bolivia	2003	1.8	Drama
Une étudiante d'aujourd'hui	2002	2.5	Documentary
Striking Range	1990	1.9	Action|Thriller
Highlander	2003	1.9	Action|Adventure|Fantasy
I Wish (Kiseki)	1998	2.4	Children|Drama
Cold Comfort Farm	1965	1.9	Comedy
Saw	1992	1.3	Horror|Mystery|Thriller
Dirty Deeds	2005	1.1	Action|Comedy|Crime
Mr. Troop Mom	1993	1.8	Children|Comedy
Shadow People	2007	2.5	Drama
Comrade Pedersen (Gymnaslærer Pedersen)	1999	2.3	Drama
Ikigami	2011	2.1	Action|Drama|Mystery|Thriller
Yes: 9012 Live	1995	2.4	Documentary|Musical
The Very Thought of You	2011	1.1	Drama|Romance
Richard III	2010	2.2	Drama|War
Strange Behavior	2006	1.4	Horror|Mystery|Thriller
Man Who Knew Too Little, The	2011	2.1	Comedy|Crime|Thriller
Signs	2004	1.3	Horror|Sci-Fi|Thriller
Goddess, The (Shen nu)	1993	1.3	Drama
For Me and My Gal	2011	2.0	Drama|Musical|Romance
Nightmaster (Watch the Shadows Dance)	2008	1.6	Action
31 North 62 East	1994	2.0	Thriller
Man Who Loved Women, The (Homme qui aimait les femmes, L')	1999	2.1	Comedy|Drama|Romance
Dragon Day	1998	1.2	Drama|Sci-Fi|Thriller
Big Lift, The	1986	2.1	Drama|War
Locals, The	1995	1.6	Horror|Thriller
Kill! (Kiru)	1995	1.3	Action|Comedy|Drama
Living with Wolves	2000	1.3	Documentary
Road to Brown, The	2003	1.8	Documentary
Buried Alive	1993	1.5	Film-Noir|Horror|Thriller
Generation Iron	1992	1.1	Documentary
Kingpin	1988	1.9	Comedy
Stag Night	1975	1.6	Horror|Thriller
21 and Over	1993	1.1	Comedy
Latin Music USA	2001	2.3	Documentary|Musical
Nightmare on Elm Street 4: The Dream Master, A	2002	1.1	Horror|Thriller
Samurai (Samourais)	2013	1.4	Action
Out of the Clear Blue Sky	2009	2.3	Documentary
About Adam	1992	1.6	Comedy
Time to Leave	1994	1.1	Drama
Three Way	2000	1.0	Crime|Drama|Thriller
Mr. Turner	2010	1.5	Drama
Living Skeleton, The (Kyûketsu dokuro-sen)	1990	2.4	Horror
Fanboys	2000	2.1	Adventure|Comedy|Drama
Blaise Pascal	2000	1.1	Drama
Dark Horse, The	2009	2.4	Drama
3 Ninjas Knuckle Up	1998	2.3	Action|Children
Loaded	2007	1.1	Action|Crime|Drama|Thriller
Secret Six, The	1990	2.4	Crime
Lemonade Joe (Limonádový Joe aneb Konská opera)	2001	2.2	Adventure|Comedy|Musical|Romance|Western
Talk of Angels	1997	1.4	Drama
Dawn of the Dead	1995	1.2	Action|Drama|Horror
Close My Eyes	2009	2.1	Drama|Romance
Oh, Sun (Soleil O)	1987	2.1	Drama
Sound of Redemption: The Frank Morgan Story	2010	1.1	Documentary|Drama|Musical
King in New York, A	1990	2.4	Comedy|Drama
Whip and the Body, The (Frusta e il corpo, La)	1997	2.2	Horror
High Spirits	2007	1.2	Comedy
Project A 2 ('A' gai wak juk jap)	2010	1.5	Action|Comedy|Crime
Something Real and Good	2008	1.3	Drama
Promised Land	1992	2.2	Drama
Misérables, Les	1995	1.5	Drama|War
Don't Tell Anyone (No se lo digas a nadie)	1993	2.4	Comedy|Drama
Snake and Mongoose	1994	1.1	Drama
Nancy Drew: Detective	2000	1.6	Comedy|Mystery
Hell Without Limits (Lugar sin límites, El)	1999	1.5	Drama
Nobody Knows (Dare mo shiranai)	1984	1.6	Drama
