tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt9005800	tvEpisode	Banking on Fear	Banking on Fear	0	2018	\N	\N	Crime
tt9005802	tvEpisode	The Doorbell Rang Twice	The Doorbell Rang Twice	0	2018	\N	\N	Crime
tt9005804	tvEpisode	Women's Self Defense, Shirley Phelps-Roper Coming Back?	Women's Self Defense, Shirley Phelps-Roper Coming Back?	0	2009	\N	\N	News,Talk-Show
tt9005806	tvEpisode	Episode #1.11	Episode #1.11	0	2018	\N	\N	\N
tt9005808	video	J.W.Anderson: Spring/Summer 2019 at London Fashion Week	J.W.Anderson: Spring/Summer 2019 at London Fashion Week	0	2018	\N	11	Short
tt9005810	tvEpisode	Day 83: Put on Your Dancing Shoes	Day 83: Put on Your Dancing Shoes	0	2018	\N	\N	Reality-TV
tt9005812	tvEpisode	IG Report Leads 5 FBI Agents Investigated, Stop Trump Text, End of Mueller Probe: Analysis	IG Report Leads 5 FBI Agents Investigated, Stop Trump Text, End of Mueller Probe: Analysis	0	2018	\N	\N	News
tt9005814	tvEpisode	Episode dated 15 September 2018	Episode dated 15 September 2018	0	2018	\N	\N	\N
tt9005816	tvSeries	Elävät puut	Elävät puut	0	2018	\N	27	Documentary
tt9005818	short	Can't Sleep	Can't Sleep	0	2018	\N	12	Horror,Short
tt9005822	tvMiniSeries	Miserere	Miserere	0	\N	\N	\N	Drama
tt9005824	tvEpisode	Je cherche un maquettiste de cinoche!	Je cherche un maquettiste de cinoche!	0	2018	\N	\N	Sci-Fi
tt9005828	tvEpisode	Episode #1.1572	Episode #1.1572	0	2012	\N	\N	Drama,Romance
tt9005834	tvEpisode	Heat Stroke	Heat Stroke	0	2018	\N	\N	Action,Animation,Comedy
tt9005836	tvEpisode	Hemorrhagic Shock (Part I)	Hemorrhagic Shock (Part I)	0	2018	\N	\N	Action,Animation,Comedy
tt9005838	tvEpisode	Hemorrhagic Shock (Part II)	Hemorrhagic Shock (Part II)	0	2018	\N	\N	Action,Animation,Comedy
tt9005840	short	Seven Landscapes	Seven Landscapes	0	1995	\N	11	Short
tt9005844	tvEpisode	Mueller Probe Influencing Trump Poll Numbers Before Midterms to Help Democratic Party	Mueller Probe Influencing Trump Poll Numbers Before Midterms to Help Democratic Party	0	2018	\N	\N	News
tt9005848	tvEpisode	Suoceri contro	Suoceri contro	0	2018	\N	\N	Drama
tt9005850	tvEpisode	Ryan's Story	Ryan's Story	0	2018	\N	\N	Documentary,News,Reality-TV
tt9005852	tvEpisode	Il farmacista	Il farmacista	0	2018	\N	\N	Drama
tt9005854	tvEpisode	Risparmi in fumo	Risparmi in fumo	0	2018	\N	\N	Drama
tt9005856	tvEpisode	Episode dated 16 September 2018	Episode dated 16 September 2018	0	2018	\N	60	\N
tt9005858	tvEpisode	Episode dated 26 August 2018	Episode dated 26 August 2018	0	2018	\N	\N	\N
tt9005860	short	Jag väljer Dig	Jag väljer Dig	0	2018	\N	\N	Comedy,Drama,Short
tt9005862	short	Nirrti	Nirrti	0	2018	\N	12	Drama,Short
tt9005864	tvEpisode	No Disguise	No Disguise	0	1999	\N	\N	Animation,Comedy,Sci-Fi
tt9005866	tvEpisode	Kick It Up	Kick It Up	0	2013	\N	\N	Comedy
tt9005868	tvEpisode	Campus Life	Campus Life	0	1999	\N	\N	Animation,Comedy,Sci-Fi
tt9005870	tvEpisode	Intrigue	Intrigue	0	1999	\N	\N	Animation,Comedy,Sci-Fi
tt9005872	tvEpisode	Acupuntorax 2	Acupuntorax 2	0	2018	\N	\N	Drama
tt9005874	tvEpisode	Mi faro me lo robaron	Mi faro me lo robaron	0	2018	\N	\N	Drama
tt9005876	tvSeries	Viki, Köpi & Henkka - tieteen armoilla	Viki, Köpi & Henkka - tieteen armoilla	0	2018	\N	10	\N
